Category,BaseType,DropLevelStart,DropLevelEnd,AreaLevelStart,AreaLevelEnd,Rarity (1-6),Usefulness (1-6),Normal-Tier,Magic-Tier,Rare-Tier
Skill Gems,Absolution,,,,,2.3636363636363633,5.0,,,
,Absolution of Inspiring,,,,,3.0,,,,
Skill Gems,Added Chaos Damage Support,,,,,3.2727272727272725,5.0,,,
Skill Gems,Added Cold Damage Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Added Fire Damage Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Added Lightning Damage Support,,,,,1.9090909090909092,5.0,,,
Skill Gems,Additional Accuracy Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Advanced Traps Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Alchemist's Mark,,,,,2.8181818181818183,3.0,,,
Skill Gems,Ambush,,,,,2.8181818181818183,3.0,,,
Skill Gems,Ancestral Call Support,,,,,2.3636363636363633,4.0,,,
Skill Gems,Ancestral Cry,,,,,2.8181818181818183,3.0,,,
Skill Gems,Anger,,,,,2.3636363636363633,5.0,,,
Skill Gems,Animate Guardian,,,,,2.8181818181818183,3.0,,,
,Animate Guardian of Smiting,,,,,3.0,,,,
Skill Gems,Animate Weapon,,,,,2.8181818181818183,3.0,,,
,Animate Weapon of Ranged Arms,,,,,5.0,,,,
,Animate Weapon of Self Reflection,,,,,5.0,,,,
Skill Gems,Arc,,,,,2.8181818181818183,6.0,,,
,Arc of Oscillating,,,,,6.0,,,,
,Arc of Surging,,,,,6.0,,,,
Skill Gems,Arcane Cloak,,,,,2.8181818181818183,3.0,,,
Skill Gems,Arcane Surge Support,,,,,1.9090909090909092,5.0,,,
Skill Gems,Arcanist Brand,,,,,2.8181818181818183,3.0,,,
Skill Gems,Archmage Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Arctic Armour,,,,,2.3636363636363633,3.0,,,
Skill Gems,Armageddon Brand,,,,,2.3636363636363633,4.0,,,
,Armageddon Brand of Recall,,,,,6.0,,,,
,Armageddon Brand of Volatility,,,,,5.0,,,,
Skill Gems,Arrogance Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Arrow Nova Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Artillery Ballista,,,,,2.8181818181818183,3.0,,,
,Artillery Ballista of Cross Strafe,,,,,5.0,,,,
,Artillery Ballista of Focus Fire,,,,,4.0,,,,
Skill Gems,Assassin's Mark,,,,,2.8181818181818183,4.0,,,
Skill Gems,Autoexertion,,,,,2.3636363636363633,3.0,,,
Skill Gems,Automation,,,,,2.3636363636363633,3.0,,,
,Awakened Added Chaos Damage Support,,,,,9.0,,,,
,Awakened Added Cold Damage Support,,,,,9.0,,,,
,Awakened Added Fire Damage Support,,,,,9.0,,,,
,Awakened Added Lightning Damage Support,,,,,8.0,,,,
,Awakened Ancestral Call Support,,,,,12.0,,,,
