name,baseType,weighted_listings,total_listings,max_listings,total_count,leagues_seen,avg_weighted_listings
Ethereal Knives,Ethereal Knives,11449.6,16924,4675,1728,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2289.92
Ice Nova of Frostbolts,Ice Nova of Frostbolts,2160.6,4496,1076,749,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",432.12
Urgent Orders Support,Urgent Orders Support,4991.15,9652,3193,903,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",998.2299999999999
Unearth,Unearth,7752.750000000002,12593,3837,1304,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1550.5500000000004
Puncture,Puncture,9733.6,14806,4334,1506,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1946.72
Devouring Totem,Devouring Totem,5521.7,9896,3570,1069,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1104.34
Caustic Arrow,Caustic Arrow,11996.1,18073,4833,1912,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2399.2200000000003
Blast Rain,Blast Rain,8240.550000000001,13208,3592,1316,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1648.1100000000001
Flammability,Flammability,13550.0,21020,5314,2036,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2710.0
Cold to Fire Support,Cold to Fire Support,7223.500000000003,10624,3128,990,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1444.7000000000005
Armageddon Brand,Armageddon Brand,8412.2,13969,4129,1489,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1682.44
Berserk,Berserk,9922.45,16947,4201,1758,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1984.4900000000002
Artillery Ballista,Artillery Ballista,6651.650000000001,12117,4052,1244,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1330.3300000000002
Charged Traps Support,Charged Traps Support,4800.449999999999,7924,2055,751,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",960.0899999999998
Focused Ballista Support,Focused Ballista Support,4042.6,7254,2326,875,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",808.52
Vaal Caustic Arrow,Vaal Caustic Arrow,4171.9,8148,4983,792,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",834.3799999999999
Nightblade Support,Nightblade Support,6581.4000000000015,12249,2494,1030,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1316.2800000000002
Eye of Winter,Eye of Winter,5865.250000000001,10695,3687,1131,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1173.0500000000002
Item Rarity Support,Item Rarity Support,13681.700000000003,20113,5324,2086,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2736.3400000000006
Iron Will Support,Iron Will Support,6604.650000000001,9727,3192,917,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1320.93
Spectral Throw of Materialising,Spectral Throw of Materialising,1250.95,2381,691,498,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",250.19
Summon Ice Golem of Hordes,Summon Ice Golem of Hordes,1170.2,2163,475,594,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",234.04000000000002
Split Arrow of Splitting,Split Arrow of Splitting,1374.45,2585,743,589,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",274.89
Rain of Arrows of Saturation,Rain of Arrows of Saturation,1271.05,2390,693,597,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",254.20999999999998
Divine Ire of Holy Lightning,Divine Ire of Holy Lightning,1185.65,2299,991,334,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",237.13000000000002
Crackling Lance of Disintegration,Crackling Lance of Disintegration,1067.95,2100,844,248,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",213.59
Rage Vortex of Berserking,Rage Vortex of Berserking,2469.3,4654,1743,733,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",493.86
Vortex of Projection,Vortex of Projection,1400.4,2895,1070,343,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",280.08000000000004
Ice Spear of Splitting,Ice Spear of Splitting,1818.8,3607,1438,416,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",363.76
Contagion of Transference,Contagion of Transference,1014.5,1964,745,295,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",202.9
Crackling Lance of Branching,Crackling Lance of Branching,1139.15,2297,1002,279,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",227.83
Scourge Arrow of Menace,Scourge Arrow of Menace,1529.6000000000001,3030,837,493,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",305.92
Firestorm of Pelting,Firestorm of Pelting,1490.7000000000003,3231,1179,306,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",298.14000000000004
