name,baseType,weighted_listings,total_listings,max_listings,total_count,leagues_seen,avg_weighted_listings
The Covenant,Spidersilk Robe,9095.5,12620,5975,758,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1819.1
Scold's Bridle,Mind Cage,5503.6,8317,3947,868,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1100.72
Voidwalker,Murder Boots,8507.2,13674,7334,1007,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",2126.8
Maloney's Nightfall,Vile Arrow Quiver,6366.950000000001,12392,8112,808,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1273.39
The Devouring Diadem,Necromancer Circlet,13384.500000000002,18406,11977,684,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",3346.1250000000005
Fractal Thoughts,Vaal Mask,11436.300000000001,16350,9358,1004,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2287.26
Sentari's Answer,Brass Spirit Shield,9567.6,16161,7708,1045,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1913.52
Great Old One's Tentacles,Eelskin Gloves,8114.5,15257,9903,1039,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1622.9
Heatshiver,Leather Hood,21746.3,31616,17528,1213,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",4349.26
The Blood Dance,Sharkskin Boots,6947.15,10082,4968,841,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1389.4299999999998
Galesight,Solaris Circlet,2999.55,5129,3088,525,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",599.9100000000001
Cloak of Flame,Scholar's Robe,16352.550000000003,26884,12381,1577,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3270.5100000000007
Cospri's Will,Assassin's Garb,6729.65,10319,4373,939,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1345.9299999999998
