Base Type,Item Name,Rarity,List Count,Count
Cobra Lash,Cobra Lash,7,8,8
Flesh Offering,Flesh Offering,8,5,4
Scorching Ray,Scorching Ray,9,4,3
Vulnerability,Vulnerability,6,13,12
Herald of Ash,Herald of Ash,5,19,19
Elemental Hit,Elemental Hit,10,2,2
Immortal Call,Immortal Call,10,3,3
Vaal Molten Shell,Vaal Molten Shell,7,9,9
Spellslinger,Spellslinger,9,4,3
Infernal Blow,Infernal Blow,8,5,4
Animate Weapon,Animate Weapon,7,8,6
Detonate Mines,Detonate Mines,12,1,1
Vaal Firestorm,Vaal Firestorm,8,6,6
Frostblink,Frostblink,4,30,28
Eviscerate,Eviscerate,10,3,3
Alchemist's Mark,Alchemist's Mark,8,6,4
Devouring Totem,Devouring Totem,9,4,4
Fire Trap,Fire Trap,6,12,12
Plague Bearer,Plague Bearer,8,5,5
Vaal Discipline,Vaal Discipline,8,5,5
Volatile Dead,Volatile Dead,7,8,7
Vaal Lightning Strike,Vaal Lightning Strike,4,26,24
Summon Skitterbots,Summon Skitterbots,8,6,6
Enduring Cry,Enduring Cry,5,17,15
Icicle Mine,Icicle Mine,8,6,6
Stormbind,Stormbind,8,7,7
Sunder,Sunder,5,23,22
Spectral Shield Throw,Spectral Shield Throw,6,13,13
Elemental Weakness,Elemental Weakness,7,10,8
Precision,Precision,5,17,15
Anger,Anger,7,10,10
Steelskin,Steelskin,7,10,9
Glacial Cascade,Glacial Cascade,8,5,5
Snipe,Snipe,8,5,4
Automation,Automation,7,9,9
Vaal Cyclone,Vaal Cyclone,6,15,15
Brand Recall,Brand Recall,10,3,3
Poisonous Concoction,Poisonous Concoction,6,13,11
Vaal Ice Nova,Vaal Ice Nova,6,14,14
Vampiric Link,Vampiric Link,12,1,1
Bone Offering,Bone Offering,10,3,3
Frost Shield,Frost Shield,8,7,5
Herald of Agony,Herald of Agony,7,8,8
Armageddon Brand,Armageddon Brand,6,13,13
Bladefall,Bladefall,9,4,4
Explosive Concoction,Explosive Concoction,8,6,6
Smite,Smite,8,6,6
Vaal Storm Call,Vaal Storm Call,5,18,18
Dual Strike,Dual Strike,8,5,5
Decoy Totem,Decoy Totem,7,11,9
Lightning Spire Trap,Lightning Spire Trap,10,3,2
Blade Flurry,Blade Flurry,10,2,2
Detonate Dead,Detonate Dead,7,11,9
Smoke Mine,Smoke Mine,7,8,6
Dominating Blow,Dominating Blow,10,3,3
Frenzy,Frenzy,10,3,3
Soul Link,Soul Link,10,2,2
Summon Skeletons,Summon Skeletons,7,11,10
Purifying Flame,Purifying Flame,7,8,7
Heavy Strike,Heavy Strike,6,13,13
Vaal Molten Strike,Vaal Molten Strike,5,24,21
War Banner,War Banner,9,4,4
Summon Carrion Golem,Summon Carrion Golem,7,8,8
Vaal Blade Vortex,Vaal Blade Vortex,5,19,19
Assassin's Mark,Assassin's Mark,8,7,4
Blade Blast,Blade Blast,8,5,4
Storm Burst,Storm Burst,8,5,5
Discipline,Discipline,10,3,3
Blade Trap,Blade Trap,12,1,1
Vaal Grace,Vaal Grace,8,7,7
Infernal Cry,Infernal Cry,8,7,6
Shrapnel Ballista,Shrapnel Ballista,7,9,8
Vaal Rain of Arrows,Vaal Rain of Arrows,5,21,21
Vaal Lightning Arrow,Vaal Lightning Arrow,4,26,24
Vaal Flameblast,Vaal Flameblast,10,3,3
Vaal Double Strike,Vaal Double Strike,6,13,13
Purity of Lightning,Purity of Lightning,10,2,1
Searing Bond,Searing Bond,10,2,2
Rage Vortex,Rage Vortex,8,5,4
Vaal Animate Weapon,Vaal Animate Weapon,5,24,21
Shield Charge,Shield Charge,4,30,25
Defiance Banner,Defiance Banner,8,5,5
Essence Drain,Essence Drain,8,7,6
Glacial Shield Swipe,Glacial Shield Swipe,7,8,6
Cleave,Cleave,8,5,4
Lightning Trap,Lightning Trap,7,8,6
Lightning Warp,Lightning Warp,10,3,3
Vaal Glacial Hammer,Vaal Glacial Hammer,12,1,1
Hatred,Hatred,10,3,2
Determination,Determination,9,4,3
Purity of Elements,Purity of Elements,10,3,3
Reave,Reave,10,2,2
Artillery Ballista,Artillery Ballista,8,5,4
Discharge,Discharge,10,3,3
Herald of Thunder,Herald of Thunder,7,10,10
Wrath,Wrath,9,4,4
Punishment,Punishment,7,9,8
Frostbolt,Frostbolt,7,9,9
Vaal Fireball,Vaal Fireball,5,23,19
Boneshatter,Boneshatter,9,4,4
Malevolence,Malevolence,9,4,3
Vaal Absolution,Vaal Absolution,7,11,11
Vaal Venom Gyre,Vaal Venom Gyre,5,22,20
Earthshatter,Earthshatter,4,31,30
Reap,Reap,8,5,5
Tectonic Slam,Tectonic Slam,8,6,4
Shockwave Totem,Shockwave Totem,9,4,4
Ice Trap,Ice Trap,10,3,3
Grace,Grace,7,11,11
Ice Crash,Ice Crash,10,2,1
Burning Arrow,Burning Arrow,6,13,12
Vaal Reave,Vaal Reave,6,16,15
Temporal Chains,Temporal Chains,8,6,6
Dash,Dash,6,13,11
Vaal Arctic Armour,Vaal Arctic Armour,7,11,10
Ancestral Cry,Ancestral Cry,7,11,10
Vaal Blight,Vaal Blight,6,15,15
Bladestorm,Bladestorm,9,4,4
Arctic Armour,Arctic Armour,8,7,6
Crackling Lance,Crackling Lance,8,7,7
Galvanic Arrow,Galvanic Arrow,8,5,5
Kinetic Blast,Kinetic Blast,12,1,1
Vaal Power Siphon,Vaal Power Siphon,5,20,20
Penance Brand,Penance Brand,7,9,9
Divine Ire,Divine Ire,8,5,5
